id,value,father,right-sibling
0,program,-1,-1
1,statement_list,0,-1
2,statement,1,14
3,simple_statement,2,-1
4,declaration_statement,3,13
5,type,4,12
6,array_type,5,-1
7,simple_type,6,9
8,int,7,-1
9,[,6,10
10,constant,6,11
11,],6,-1
12,id,4,-1
13,;,3,-1
14,statement_list,1,-1
15,statement,14,-1
16,simple_statement,15,-1
17,declaration_statement,16,28
18,type,17,21
19,simple_type,18,-1
20,int,19,-1
21,id,17,22
22,=,17,23
23,expression,17,-1
24,expression_simple,23,26
25,constant,24,-1
26,expression',23,-1
27,epsilon,26,-1
28,;,16,-1
