id,value,father,right-sibling
0,program,-1,-1
1,statement_list,0,-1
2,statement,1,14
3,simple_statement,2,-1
4,declaration_statement,3,13
5,type,4,12
6,array_type,5,-1
7,simple_type,6,9
8,int,7,-1
9,[,6,10
10,constant,6,11
11,],6,-1
12,id,4,-1
13,;,3,-1
14,statement_list,1,-1
15,statement,14,29
16,simple_statement,15,-1
17,declaration_statement,16,28
18,type,17,21
19,simple_type,18,-1
20,int,19,-1
21,id,17,22
22,=,17,23
23,expression,17,-1
24,expression_simple,23,26
25,constant,24,-1
26,expression',23,-1
27,epsilon,26,-1
28,;,16,-1
29,statement_list,14,-1
30,statement,29,38
31,simple_statement,30,-1
32,declaration_statement,31,37
33,type,32,36
34,simple_type,33,-1
35,int,34,-1
36,id,32,-1
37,;,31,-1
38,statement_list,29,-1
39,statement,38,45
40,simple_statement,39,-1
41,iostatement,40,44
42,<<,41,43
43,id,41,-1
44,;,40,-1
45,statement_list,38,-1
46,statement,45,97
47,compound_statement,46,-1
48,while_statement,47,-1
49,while,48,50
50,(,48,51
51,expression,48,64
52,expression_simple,51,54
53,id,52,-1
54,expression',51,-1
55,binary_operator,54,57
56,<,55,-1
57,expression,54,62
58,expression_simple,57,60
59,id,58,-1
60,expression',57,-1
61,epsilon,60,-1
62,expression',54,-1
63,epsilon,62,-1
64,),48,65
65,{,48,66
66,statement_list,48,96
67,statement,66,76
68,simple_statement,67,-1
69,iostatement,68,75
70,<<,69,71
71,id,69,72
72,[,69,73
73,id,69,74
74,],69,-1
75,;,68,-1
76,statement_list,66,-1
77,statement,76,-1
78,simple_statement,77,-1
79,assignment_statement,78,95
80,id,79,81
81,=,79,82
82,expression,79,-1
83,expression_simple,82,85
84,id,83,-1
85,expression',82,-1
86,binary_operator,85,88
87,+,86,-1
88,expression,85,93
89,expression_simple,88,91
90,constant,89,-1
91,expression',88,-1
92,epsilon,91,-1
93,expression',85,-1
94,epsilon,93,-1
95,;,78,-1
96,},48,-1
97,statement_list,45,-1
98,statement,97,109
99,simple_statement,98,-1
100,assignment_statement,99,108
101,id,100,102
102,=,100,103
103,expression,100,-1
104,expression_simple,103,106
105,constant,104,-1
106,expression',103,-1
107,epsilon,106,-1
108,;,99,-1
109,statement_list,97,-1
110,statement,109,-1
111,compound_statement,110,-1
112,while_statement,111,-1
113,while,112,114
114,(,112,115
115,expression,112,128
116,expression_simple,115,118
117,id,116,-1
118,expression',115,-1
119,binary_operator,118,121
120,<,119,-1
121,expression,118,126
122,expression_simple,121,124
123,id,122,-1
124,expression',121,-1
125,epsilon,124,-1
126,expression',118,-1
127,epsilon,126,-1
128,),112,129
129,{,112,130
130,statement_list,112,199
131,statement,130,179
132,simple_statement,131,-1
133,iostatement,132,178
134,>>,133,135
135,expression,133,-1
136,expression_simple,135,138
137,constant,136,-1
138,expression',135,-1
139,binary_operator,138,141
140,+,139,-1
141,expression,138,176
142,expression_simple,141,147
143,id,142,144
144,[,142,145
145,id,142,146
146,],142,-1
147,expression',141,-1
148,binary_operator,147,150
149,+,148,-1
150,expression,147,174
151,expression_simple,150,153
152,constant,151,-1
153,expression',150,-1
154,binary_operator,153,156
155,+,154,-1
156,expression,153,172
157,expression_simple,156,162
158,id,157,159
159,[,157,160
160,id,157,161
161,],157,-1
162,expression',156,-1
163,binary_operator,162,165
164,^,163,-1
165,expression,162,170
166,expression_simple,165,168
167,constant,166,-1
168,expression',165,-1
169,epsilon,168,-1
170,expression',162,-1
171,epsilon,170,-1
172,expression',153,-1
173,epsilon,172,-1
174,expression',147,-1
175,epsilon,174,-1
176,expression',138,-1
177,epsilon,176,-1
178,;,132,-1
179,statement_list,130,-1
180,statement,179,-1
181,simple_statement,180,-1
182,assignment_statement,181,198
183,id,182,184
184,=,182,185
185,expression,182,-1
186,expression_simple,185,188
187,id,186,-1
188,expression',185,-1
189,binary_operator,188,191
190,+,189,-1
191,expression,188,196
192,expression_simple,191,194
193,constant,192,-1
194,expression',191,-1
195,epsilon,194,-1
196,expression',188,-1
197,epsilon,196,-1
198,;,181,-1
199,},112,-1
